code,libelle,type,code_dren,lib_dren
059070,INSTITUT POLYTECHNIQUE GLORIS,PRIVE,40,ABIDJAN 3
190003,GROUPE SCOLAIRE FADIGA ABDOUL (GSFA) ABOBO,PRIVE,41,ABIDJAN 4
190007,GROUPE SCOLAIRE SAINT MATHIEU ABOBO,PRIVE,41,ABIDJAN 4
190013,COLLEGE YVAC ANYAMA,PRIVE,41,ABIDJAN 4
190014,COLLEGE ATLANTIQUE DE PORT-BOUET,PRIVE,31,ABIDJAN 2
190015,COLLEGE SAINTE NANCY MARCORY,PRIVE,31,ABIDJAN 2
190016,COLLEGE SAINTE CAMILLE COCODY,PRIVE,12,ABIDJAN 1
190017,INSTITUT SECONDAIRE GENERAL LA COLOMBE KOUMASSI,PRIVE,31,ABIDJAN 2
190018,COLLEGE BOCABO ET ASSOCIES ABOBO,PRIVE,41,ABIDJAN 4
190019,COLLEGE LES FALAISES ABOBO,PRIVE,41,ABIDJAN 4
190020,GROUPE SCOLAIRE LES BOTANIQUES DU MITTERAND,PRIVE,41,ABIDJAN 4
190022,GROUPE SCOLAIRE LA SOURCE KOUMASSI,PRIVE,31,ABIDJAN 2
190023,GROUPE SCOLAIRE SELODESIR ABOBO PK 18,PRIVE,41,ABIDJAN 4
190024,GROUPE SCOLAIRE JULES FERRY COCODY,PRIVE,12,ABIDJAN 1
190025,COLLEGE IRIS I ABOBO KENNEDY,PRIVE,41,ABIDJAN 4
190034,COLLEGE SAINT EMMANUEL YOPOUGON,PRIVE,40,ABIDJAN 3
190036,COLLEGE ANDRE GIDE YOPOUGON,PRIVE,40,ABIDJAN 3
190037,"GROUPE SCOLAIRE INTERNATIONAL DE L'AMITIE YOPOUGON
SABLE",PRIVE,40,ABIDJAN 3
190039,COLLEGE D. BAZ YOPOUGON,PRIVE,40,ABIDJAN 3
190041,GROUPE SCOLAIRE ANDRE LATRILLE (GSAL) YOPOUGON,PRIVE,40,ABIDJAN 3
190042,"INSTITUT TECHNIQUE DES SCIENCES APPLIQUEES ET DU
TERTIAIRE (ITSAT) YOPOUGON",PRIVE,40,ABIDJAN 3
190044,COLLEGE JEAN FRANCOIS LIONEL YOPOUGON,PRIVE,40,ABIDJAN 3
190045,COLLEGE MAMADOU TRAORE YOPOUGON,PRIVE,40,ABIDJAN 3
190046,GROUPE SCOLAIRE LE SAVANT 2 DE YOPOUGON BEAGO,PRIVE,40,ABIDJAN 3
190080,GROUPE SCOLAIRE LA VOLIERE MARCORY,PRIVE,31,ABIDJAN 2
190094,COLLEGE PIERRE ET MARIE CURIE PORT-BOUET,PRIVE,31,ABIDJAN 2
190098,COLLEGE LES ELYSEES ABOBO PK 18,PRIVE,41,ABIDJAN 4
190099,INSTITUT SCOLAIRE SECONDAIRE ESSEIGOU AKA (ISSEA) ABOBO,PRIVE,41,ABIDJAN 4
